Depth-cm,3,4,6,8,10,20,30,40
29.5,18.5,19.2,20.4,21.6,22.6,26.1,28.13,29.35
29.75,18.3,18.9,20.1,21.3,22.3,25.88,27.88,29.05
30,18,18.58,19.9,21,21.98,25.52,27.5,28.7
30.25,17.82,18.38,19.58,20.7,21.73,25.2,27.2,28.38
30.5,17.5,18.08,19.3,20.42,21.4,24.9,26.9,28.02
30.75,17.3,17.8,19.02,20.1,21.13,24.6,26.5,27.68
31,17,17.52,18.8,19.88,20.9,24.2,26.2,27.38
31.25,16.8,17.38,18.5,19.6,20.6,23.95,25.95,27.04
31.5,16.5,17.03,18.27,19.3,20.3,23.6,25.6,26.7
31.75,16.3,16.9,17.98,19.04,20,23.33,25.3,26.4
32,16.1,16.6,17.75,18.8,19.73,23.02,25,26.1
32.25,15.9,16.4,17.5,18.5,19.5,22.75,24.7,25.8
32.5,15.6,16.2,17.25,18.27,19.2,22.45,24.38,25.48
32.75,15.4,15.94,17.02,18.02,19,22.2,24.1,25.15
33,15.2,15.73,16.8,17.8,18.7,21.9,23.8,24.9
33.25,14.95,15.5,16.6,17.5,18.5,21.7,23.5,24.6
33.5,14.75,15.2,16.3,17.3,18.2,21.35,23.23,24.28
33.75,14.52,15.05,16.1,17.08,18,21.1,22.98,24
34,14.32,14.9,15.9,16.8,17.77,20.83,22.63,23.74
34.25,14.16,14.6,15.7,16.6,17.5,20.63,22.4,23.5
34.5,13.97,14.5,15.47,16.4,17.3,20.4,22.1,23.23
34.75,13.8,14.23,15.2,16.19,17.04,20.1,21.89,22.9
35,13.23,14.2,15.2,15.83,16.69,19.52,21.53,22.9
